cell	layer	head	side	mean	p99	p99_5	max	max_pos
0	3	0	K	0.000234749	0.002405	0.003493	0.007992	1215
1	3	0	V	0.000249021	0.002254	0.003607	0.03608	1394
2	3	1	K	0.0002281	0.002264	0.003453	0.008357	574
3	3	1	V	0.00024531	0.002133	0.00292	0.03631	641
4	3	2	K	0.000258537	0.002159	0.00341	0.043	1394
5	3	2	V	0.000254649	0.002196	0.003475	0.01546	512
6	3	3	K	0.000261956	0.002882	0.004136	0.01103	574
7	3	3	V	0.000332038	0.002806	0.004105	0.08648	641
8	7	0	K	0.000291483	0.00245	0.003616	0.0904	641
9	7	0	V	0.000248234	0.002033	0.004488	0.00828	1394
10	7	1	K	0.00079708	0.002569	0.004286	1.1	641
11	7	1	V	0.000888168	0.003751	0.006735	1.204	641
12	7	2	K	0.000256301	0.00274	0.004116	0.02537	574
13	7	2	V	0.000250063	0.002675	0.003762	0.02284	512
14	7	3	K	0.000228499	0.002143	0.002599	0.00946	1195
15	7	3	V	0.000212827	0.001916	0.00351	0.007637	641
16	11	0	K	0.000232209	0.002172	0.00379	0.01634	574
17	11	0	V	0.000226872	0.002249	0.00311	0.01734	1215
18	11	1	K	0.000211417	0.001746	0.002571	0.005566	512
19	11	1	V	0.000251744	0.002634	0.003814	0.02349	1002
20	11	2	K	0.000236493	0.002129	0.003247	0.0156	512
21	11	2	V	0.000258946	0.00251	0.004169	0.02881	1307
22	11	3	K	0.000262571	0.002653	0.003775	0.05019	1307
23	11	3	V	0.000336484	0.001995	0.002412	0.1621	640
24	15	0	K	0.000245423	0.002218	0.003929	0.02323	1307
25	15	0	V	0.000250817	0.001977	0.00283	0.02712	574
26	15	1	K	0.000224233	0.001992	0.00347	0.01462	1029
27	15	1	V	0.000235905	0.002108	0.003138	0.01706	512
28	15	2	K	0.000243108	0.002027	0.003414	0.02522	574
29	15	2	V	0.000209253	0.002095	0.002909	0.009342	512
30	15	3	K	0.000241318	0.002293	0.003637	0.01326	1756
31	15	3	V	0.000282025	0.00244	0.004174	0.04201	721
32	19	0	K	0.000218842	0.001662	0.002795	0.01289	574
33	19	0	V	0.000225187	0.001784	0.002829	0.01547	1739
34	19	1	K	0.000235851	0.00227	0.003438	0.01202	1605
35	19	1	V	0.000217309	0.001909	0.003073	0.01434	1078
36	19	2	K	0.000236249	0.00215	0.00408	0.03125	574
37	19	2	V	0.000214289	0.002178	0.003148	0.0173	641
38	19	3	K	0.000214412	0.001873	0.002855	0.02055	1078
39	19	3	V	0.000227374	0.001921	0.003045	0.01402	1756
40	23	0	K	0.000198185	0.001546	0.002259	0.01757	1215
41	23	0	V	0.00017921	0.001266	0.001928	0.006672	1307
42	23	1	K	0.000185126	0.001711	0.002216	0.008165	1215
43	23	1	V	0.000179436	0.00131	0.00249	0.008448	574
44	23	2	K	0.000189633	0.001477	0.002009	0.01401	1215
45	23	2	V	0.000228311	0.002173	0.00303	0.01338	1002
46	23	3	K	0.00026435	0.002078	0.004301	0.03815	641
47	23	3	V	0.000211606	0.001639	0.002842	0.01187	741
48	27	0	K	0.000208018	0.001626	0.002134	0.01925	640
49	27	0	V	0.000170809	0.001346	0.001797	0.003722	1548
50	27	1	K	0.000222972	0.00182	0.002459	0.0285	1002
51	27	1	V	0.000203667	0.001372	0.002105	0.0272	1215
52	27	2	K	0.000270745	0.002965	0.003488	0.00909	691
53	27	2	V	0.000289168	0.002379	0.003338	0.04474	1215
54	27	3	K	0.000223945	0.001781	0.002868	0.01613	1215
55	27	3	V	0.000180539	0.001333	0.001836	0.006831	169
56	31	0	K	0.000221579	0.001889	0.002803	0.00699	454
57	31	0	V	0.000188172	0.001387	0.002119	0.007696	741
58	31	1	K	0.000219141	0.001765	0.0027	0.01249	574
59	31	1	V	0.000177057	0.0014	0.001657	0.005041	86
60	31	2	K	0.000180635	0.001309	0.001817	0.006009	169
61	31	2	V	0.000164439	0.001254	0.00155	0.003439	86
62	31	3	K	0.000211157	0.001858	0.003072	0.00794	1318
63	31	3	V	0.000183427	0.001449	0.002211	0.008148	1002
64	35	0	K	0.000173049	0.001274	0.00186	0.00755	169
65	35	0	V	0.000146544	0.0009657	0.001273	0.003836	86
66	35	1	K	0.000190992	0.001679	0.002177	0.006653	1002
67	35	1	V	0.00015244	0.001024	0.001588	0.004346	1002
68	35	2	K	0.000195991	0.001676	0.002265	0.006891	1787
69	35	2	V	0.000157789	0.001039	0.001585	0.006476	169
70	35	3	K	0.00020798	0.001898	0.002673	0.008114	1318
71	35	3	V	0.000172599	0.001337	0.001817	0.007542	1394
72	39	0	K	0.00015313	0.001124	0.001406	0.00432	186
73	39	0	V	0.000136359	0.001005	0.001399	0.005769	169
74	39	1	K	0.000144836	0.0009965	0.001534	0.002586	152
75	39	1	V	0.000133321	0.0009443	0.001192	0.003514	86
76	39	2	K	0.000150945	0.001075	0.001364	0.005689	169
77	39	2	V	0.000140085	0.001117	0.001476	0.005884	1925
78	39	3	K	0.000214661	0.001845	0.002753	0.01603	741
79	39	3	V	0.000144563	0.001013	0.001317	0.003991	1002
