base B1 2.6610  base T2 2.6081  gap 0.0529 nats
gdn_qkv          NLL 2.6005  gap recovered 114.4%  bytes   +314.6 MB
gdn_alphabeta    NLL 2.6362  gap recovered  46.9%  bytes     +2.9 MB
attnq_mid        NLL 2.6517  gap recovered  17.6%  bytes    +39.3 MB
ffnup_mid        NLL 2.6541  gap recovered  13.0%  bytes   +245.1 MB
attnkv_late      NLL 2.6589  gap recovered   4.0%  bytes     +7.9 MB
attnout_mid      NLL 2.6623  gap recovered  -2.5%  bytes    +19.7 MB
shared_f32       NLL 2.6641  gap recovered  -5.9%  bytes     +0.0 MB
attnkv_early     NLL 2.6650  gap recovered  -7.6%  bytes     +6.6 MB
embedding        NLL 2.6678  gap recovered -12.9%  bytes   +158.9 MB
attnkv_mid       NLL 2.6686  gap recovered -14.4%  bytes     +6.6 MB
attnq_late       NLL 2.6747  gap recovered -25.9%  bytes    +47.2 MB
gdn_out          NLL 2.6757  gap recovered -27.8%  bytes   +188.7 MB
attnq_early      NLL 2.6778  gap recovered -31.8%  bytes    +39.3 MB
gdn_gate         NLL 2.6812  gap recovered -38.2%  bytes   +188.7 MB
ffngate_mid      NLL 2.6881  gap recovered -51.2%  bytes   +245.1 MB
ffngate_early    NLL 2.6895  gap recovered -53.9%  bytes   +234.0 MB
ffndown_mid      NLL 2.7051  gap recovered -83.4%  bytes   +245.1 MB
attnout_early    NLL 2.7163  gap recovered -104.5%  bytes    +19.7 MB
attnout_late     NLL 2.7201  gap recovered -111.7%  bytes    +23.6 MB
ffngate_late     NLL 2.7276  gap recovered -125.9%  bytes   +234.0 MB
output_head      NLL 2.7288  gap recovered -128.2%  bytes   +158.9 MB
ffnup_early      NLL 2.7299  gap recovered -130.2%  bytes   +234.0 MB
ffnup_late       NLL 2.7355  gap recovered -140.8%  bytes   +234.0 MB
ffndown_early    NLL 2.7400  gap recovered -149.3%  bytes   +234.0 MB
ffndown_late     NLL 2.8648  gap recovered -385.3%  bytes   +234.0 MB
